type,param,test_mse
learning_rate,0.0001,17074.107421875
learning_rate,0.001,15837.330078125
learning_rate,0.01,7562.38623046875
learning_rate,0.1,0.010221388190984726
batch_size,8,138.439697265625
batch_size,16,3031.404296875
batch_size,32,7594.87646484375
batch_size,64,11196.3486328125
batch_size,128,13518.9638671875
optimizer,SGD,0.00949854776263237
optimizer,Adam,7622.91259765625
optimizer,RMSprop,6831.89990234375
